year,region,malnutrition_pct,food_security_index,infant_mortality_rate,stunting_pct
1998,Karnataka,28.4,84.7,36.7,37.4
1998,Andhra Pradesh,35.3,95.0,39.4,41.2
1998,Telangana,31.2,85.0,38.2,35.2
1998,Tamil Nadu,33.7,87.0,41.9,37.1
1998,Kerala,24.0,85.7,37.1,32.9
1998,West Bengal,31.7,81.8,50.2,37.8
1998,Assam,32.4,83.2,42.5,38.0
1998,Uttar Pradesh,38.1,84.5,45.2,43.3
1998,Haryana,23.5,87.0,37.5,28.4
1998,Punjab,26.9,83.3,37.9,28.1
1998,Uttarakhand,28.8,79.7,38.4,35.6
1998,Goa,26.3,78.6,43.3,31.1
1999,Bihar,37.3,88.4,47.7,36.2
1999,Jharkhand,30.7,92.4,45.6,40.0
1999,Odisha,25.4,88.7,43.9,33.8
1999,Chhattisgarh,34.2,85.2,41.0,32.1
1999,Madhya Pradesh,31.5,87.2,48.8,34.3
1999,Rajasthan,31.2,89.9,47.5,40.0
1999,Gujarat,31.6,77.1,31.7,36.7
1999,Maharashtra,25.6,78.8,39.7,35.7
1999,Karnataka,26.4,77.0,35.7,37.5
1999,Andhra Pradesh,26.1,92.0,33.9,37.2
1999,Telangana,27.1,92.5,32.2,30.8
1999,Tamil Nadu,28.1,85.9,41.2,34.1
1999,Kerala,19.4,94.8,43.0,31.0
1999,West Bengal,27.8,89.8,37.5,39.7
1999,Assam,32.1,86.4,43.3,41.1
1999,Uttar Pradesh,35.2,76.0,41.5,44.2
1999,Haryana,29.8,88.0,37.1,31.0
1999,Punjab,20.6,95.0,42.8,29.0
1999,Uttarakhand,30.7,80.0,43.2,38.3
1999,Goa,24.8,74.0,31.2,34.8
2000,Bihar,32.1,79.9,43.6,41.2
2000,Jharkhand,34.5,80.9,40.2,39.8
2000,Odisha,32.3,72.2,43.2,38.1
2000,Chhattisgarh,35.0,78.6,47.0,34.5
2000,Madhya Pradesh,30.6,80.9,44.8,32.6
2000,Rajasthan,34.0,89.4,41.2,36.4
2000,Gujarat,25.6,72.4,39.4,34.6
2000,Maharashtra,31.2,81.6,47.6,31.3
2000,Karnataka,33.9,84.5,33.6,33.3
2000,Andhra Pradesh,26.0,92.1,43.8,34.2
2000,Telangana,29.7,81.0,40.0,33.2
2000,Tamil Nadu,29.9,89.2,40.6,30.5
2000,Kerala,24.4,87.2,37.7,32.0
2000,West Bengal,30.4,91.1,44.6,38.1
2000,Assam,37.3,79.3,42.8,33.1
2000,Uttar Pradesh,30.6,92.8,37.8,33.9
2000,Haryana,23.3,90.3,29.0,35.3
2000,Punjab,26.6,89.5,36.3,26.7
2000,Uttarakhand,30.5,85.6,39.5,33.3
2000,Goa,28.1,92.1,32.9,29.9
2001,Bihar,30.0,91.3,42.0,33.0
2001,Jharkhand,26.3,85.0,43.9,29.9
2001,Odisha,31.2,87.2,38.7,36.8
2001,Chhattisgarh,31.9,89.1,38.2,34.0
2001,Madhya Pradesh,25.0,86.5,38.4,36.1
2001,Rajasthan,26.0,93.8,37.5,32.6
2001,Gujarat,22.5,86.9,36.5,29.7
2001,Maharashtra,22.7,95.0,43.4,33.9
2001,Karnataka,28.5,95.0,43.8,28.5
2001,Andhra Pradesh,26.6,88.3,38.0,32.9
2001,Telangana,28.5,92.4,32.2,28.7
2001,Tamil Nadu,21.2,91.9,43.5,35.4
2001,Kerala,21.9,92.4,38.4,31.2
2001,West Bengal,27.2,74.4,42.7,34.0
2001,Assam,28.9,92.1,43.3,31.8
2001,Uttar Pradesh,29.7,86.6,46.5,35.7
2001,Haryana,29.5,95.0,36.3,33.6
2001,Punjab,22.4,79.5,36.5,30.2
2001,Uttarakhand,28.2,84.3,38.7,33.2
2001,Goa,23.4,95.0,34.4,26.5
2002,Bihar,34.8,87.9,38.0,37.8
2002,Jharkhand,27.8,85.2,39.2,31.8
2002,Odisha,28.1,78.7,45.1,36.3
2002,Chhattisgarh,30.9,84.4,44.7,38.7
2002,Madhya Pradesh,24.2,87.4,48.4,37.8
2002,Rajasthan,29.8,75.9,43.9,39.4
2002,Gujarat,28.3,82.3,42.2,36.2
2002,Maharashtra,28.6,89.6,45.3,33.5
2002,Karnataka,26.9,76.7,43.4,28.7
2002,Andhra Pradesh,29.7,89.0,37.4,37.6
2002,Telangana,32.7,76.2,44.6,33.8
2002,Tamil Nadu,25.1,94.0,40.6,36.0
2002,Kerala,20.9,86.7,37.0,28.2
2002,West Bengal,33.8,89.1,42.2,35.7
2002,Assam,33.9,80.3,35.2,41.9
2002,Uttar Pradesh,32.3,80.8,45.8,41.7
2002,Haryana,31.7,84.5,36.1,35.4
2002,Punjab,27.6,87.7,35.3,33.0
2002,Uttarakhand,30.4,77.5,36.8,40.1
2002,Goa,28.6,82.7,39.5,30.3
2003,Bihar,34.0,75.2,42.5,38.8
2003,Jharkhand,40.1,82.8,37.2,36.8
2003,Odisha,28.2,85.1,43.9,32.3
2003,Chhattisgarh,35.9,81.3,41.7,39.9
2003,Madhya Pradesh,31.0,84.2,39.7,32.7
2003,Rajasthan,38.8,84.0,44.4,34.6
2003,Gujarat,31.7,84.0,34.3,37.1
2003,Maharashtra,31.5,73.8,44.1,31.5
2003,Karnataka,33.5,86.4,44.2,36.6
2003,Andhra Pradesh,25.5,95.0,38.6,29.5
2003,Telangana,35.0,74.4,43.1,40.7
2003,Tamil Nadu,27.4,81.6,28.0,33.2
2003,Kerala,32.4,86.0,39.1,34.3
2003,West Bengal,25.6,84.8,34.2,43.0
2003,Assam,39.5,88.6,46.6,39.8
2003,Uttar Pradesh,37.9,85.5,46.5,41.1
2003,Haryana,34.9,79.0,37.9,36.7
2003,Punjab,29.6,92.3,37.8,27.6
2003,Uttarakhand,31.0,83.4,33.3,36.6
2003,Goa,26.9,85.1,34.6,34.6
2004,Bihar,26.9,79.0,41.9,45.0
2004,Jharkhand,27.6,81.2,50.7,38.1
2004,Odisha,28.2,85.6,42.6,34.9
2004,Chhattisgarh,33.0,95.0,41.3,35.7
2004,Madhya Pradesh,34.7,80.7,35.2,31.9
2004,Rajasthan,32.5,85.3,40.0,35.2
2004,Gujarat,37.6,77.7,42.2,37.1
2004,Maharashtra,32.3,80.9,44.2,42.2
2004,Karnataka,35.4,87.3,47.4,38.2
2004,Andhra Pradesh,31.8,90.1,43.9,32.1
2004,Telangana,32.3,83.9,44.7,36.7
2004,Tamil Nadu,32.1,85.7,38.6,38.1
2004,Kerala,25.5,77.8,38.6,30.9
2004,West Bengal,34.7,79.6,43.4,38.9
2004,Assam,27.0,82.0,46.7,40.2
2004,Uttar Pradesh,32.3,87.6,39.8,44.3
2004,Haryana,25.3,95.0,38.0,33.5
2004,Punjab,26.2,85.2,31.0,31.5
2004,Uttarakhand,29.7,81.9,45.7,40.8
2004,Goa,26.8,85.2,39.3,30.9
2005,Bihar,34.1,94.6,40.6,34.1
2005,Jharkhand,29.2,80.3,42.8,34.5
2005,Odisha,29.3,88.2,42.2,38.5
2005,Chhattisgarh,27.7,84.0,36.1,37.6
2005,Madhya Pradesh,34.2,82.9,44.4,35.8
2005,Rajasthan,31.4,84.5,41.4,38.7
2005,Gujarat,29.6,92.9,33.1,35.6
2005,Maharashtra,30.8,88.9,38.3,31.1
2005,Karnataka,30.4,95.0,44.1,32.5
2005,Andhra Pradesh,31.9,87.2,44.1,38.6
2005,Telangana,29.8,93.0,43.6,35.5
2005,Tamil Nadu,31.5,85.6,40.4,36.3
2005,Kerala,25.0,84.6,41.2,34.6
2005,West Bengal,28.8,84.8,49.6,31.8
2005,Assam,25.8,89.7,45.1,39.1
2005,Uttar Pradesh,25.2,95.0,38.9,39.9
2005,Haryana,28.5,91.2,41.1,36.6
2005,Punjab,29.5,92.0,34.0,36.4
2005,Uttarakhand,23.8,82.8,41.1,37.8
2005,Goa,21.5,87.1,32.7,32.2
2006,Bihar,33.3,79.2,42.3,42.0
2006,Jharkhand,30.4,77.0,48.3,37.0
2006,Odisha,32.6,72.0,45.5,44.6
2006,Chhattisgarh,30.4,87.6,46.8,39.2
2006,Madhya Pradesh,24.2,94.0,40.2,33.8
2006,Rajasthan,36.4,85.6,38.2,41.5
2006,Gujarat,26.8,84.2,41.9,33.9
2006,Maharashtra,30.3,81.3,40.4,36.8
2006,Karnataka,25.9,83.4,41.6,40.5
2006,Andhra Pradesh,26.8,95.0,44.6,35.2
2006,Telangana,28.8,89.7,50.2,34.3
2006,Tamil Nadu,26.0,92.5,41.1,32.8
2006,Kerala,24.1,88.5,41.5,34.2
2006,West Bengal,31.4,83.2,44.5,38.7
2006,Assam,30.9,80.6,40.2,37.0
2006,Uttar Pradesh,40.2,76.7,47.5,40.2
2006,Haryana,25.0,84.1,39.1,30.9
2006,Punjab,32.3,81.0,46.0,31.2
2006,Uttarakhand,32.0,81.8,43.8,37.4
2006,Goa,24.0,88.2,32.7,27.6
2007,Bihar,31.9,83.5,48.1,38.3
2007,Jharkhand,32.9,95.0,43.6,40.4
2007,Odisha,33.2,83.2,41.1,36.0
2007,Chhattisgarh,33.3,80.7,40.9,38.6
2007,Madhya Pradesh,34.2,84.5,44.9,38.8
2007,Rajasthan,28.5,79.7,35.7,33.4
2007,Gujarat,30.6,87.7,40.1,40.6
2007,Maharashtra,32.0,79.8,44.0,36.8
2007,Karnataka,27.9,86.5,36.2,33.6
2007,Andhra Pradesh,35.1,86.8,45.5,33.7
2007,Telangana,33.2,85.4,45.5,36.0
2007,Tamil Nadu,27.8,82.9,40.2,38.2
2007,Kerala,27.8,83.9,29.5,29.8
2007,West Bengal,29.8,88.3,37.5,41.3
2007,Assam,32.7,83.9,40.8,37.8
2007,Uttar Pradesh,28.7,81.7,41.0,40.0
2007,Haryana,25.4,82.5,39.9,37.6
2007,Punjab,24.2,82.4,39.3,34.0
2007,Uttarakhand,26.9,81.7,41.2,36.9
2007,Goa,25.4,84.5,32.5,32.8
2008,Bihar,32.6,85.6,43.6,34.1
2008,Jharkhand,29.9,89.8,50.6,34.6
2008,Odisha,27.9,81.3,45.6,38.8
2008,Chhattisgarh,24.1,82.2,44.9,40.7
2008,Madhya Pradesh,29.2,92.6,42.2,39.2
2008,Rajasthan,33.7,92.3,34.2,39.1
2008,Gujarat,33.5,89.0,39.9,32.8
2008,Maharashtra,33.3,92.3,45.2,31.0
2008,Karnataka,29.0,95.0,45.5,28.3
2008,Andhra Pradesh,21.7,87.1,45.0,34.7
2008,Telangana,27.9,87.4,34.8,31.2
2008,Tamil Nadu,25.2,95.0,40.7,28.8
2008,Kerala,23.4,95.0,37.5,30.1
2008,West Bengal,27.5,93.8,44.0,32.7
2008,Assam,30.4,87.8,44.4,32.3
2008,Uttar Pradesh,29.7,86.4,40.3,34.7
2008,Haryana,31.1,86.5,33.9,33.8
2008,Punjab,29.2,86.4,35.8,28.0
2008,Uttarakhand,28.4,95.0,34.8,34.2
2008,Goa,21.7,90.4,27.8,33.4
2009,Bihar,34.9,83.6,47.7,36.9
2009,Jharkhand,33.7,79.9,40.8,42.3
2009,Odisha,30.6,82.3,43.1,34.9
2009,Chhattisgarh,31.7,75.5,49.3,37.3
2009,Madhya Pradesh,32.5,91.0,39.4,38.8
2009,Rajasthan,26.2,84.5,44.0,38.8
2009,Gujarat,29.1,86.6,41.6,35.0
2009,Maharashtra,22.7,80.3,44.4,32.1
2009,Karnataka,30.9,85.2,39.9,37.1
2009,Andhra Pradesh,32.5,87.6,43.1,36.9
2009,Telangana,31.5,85.5,37.9,38.3
2009,Tamil Nadu,26.5,79.1,33.4,38.0
2009,Kerala,29.4,87.4,37.0,32.8
2009,West Bengal,32.5,88.2,46.9,39.9
2009,Assam,30.7,83.5,42.7,33.2
2009,Uttar Pradesh,37.5,81.0,41.5,43.0
2009,Haryana,29.3,80.3,38.6,36.2
2009,Punjab,29.0,82.2,43.8,33.2
2009,Uttarakhand,28.2,84.7,43.0,35.5
2009,Goa,31.0,83.5,35.9,33.3
2010,Bihar,35.2,79.6,47.3,37.1
2010,Jharkhand,28.7,87.3,39.7,43.7
2010,Odisha,30.1,78.5,38.4,39.2
2010,Chhattisgarh,29.7,84.0,39.3,36.9
2010,Madhya Pradesh,29.3,90.2,40.8,39.8
2010,Rajasthan,27.8,77.2,47.6,44.0
2010,Gujarat,31.5,82.8,36.3,38.1
2010,Maharashtra,30.4,91.5,41.6,35.5
2010,Karnataka,34.4,84.2,46.4,30.4
2010,Andhra Pradesh,28.7,89.1,38.9,34.2
2010,Telangana,28.6,79.5,34.7,36.7
2010,Tamil Nadu,30.9,83.4,38.0,31.1
2010,Kerala,25.9,84.5,39.0,30.1
2010,West Bengal,37.5,80.1,42.1,40.3
2010,Assam,35.3,89.8,40.9,37.0
2010,Uttar Pradesh,31.9,84.1,38.8,37.1
2010,Haryana,28.1,86.7,38.3,29.2
2010,Punjab,30.2,82.9,40.9,35.4
2010,Uttarakhand,30.1,87.5,36.5,34.8
2010,Goa,18.7,85.8,34.9,30.2
2011,Bihar,30.0,89.3,53.6,38.5
2011,Jharkhand,32.2,87.2,40.4,43.0
2011,Odisha,27.9,89.7,39.5,35.0
2011,Chhattisgarh,32.6,85.6,46.9,36.0
2011,Madhya Pradesh,32.6,89.4,37.4,36.2
2011,Rajasthan,27.2,80.6,38.9,38.8
2011,Gujarat,25.4,79.3,42.3,31.3
2011,Maharashtra,28.5,83.6,35.0,32.7
2011,Karnataka,26.9,91.6,41.3,32.6
2011,Andhra Pradesh,29.1,79.7,32.1,35.7
2011,Telangana,30.3,87.9,39.6,34.5
2011,Tamil Nadu,33.7,88.8,52.0,30.9
2011,Kerala,22.9,95.0,41.2,33.2
2011,West Bengal,29.6,87.7,42.8,37.3
2011,Assam,22.7,94.6,47.2,33.8
2011,Uttar Pradesh,33.2,86.1,37.7,33.3
2011,Haryana,30.3,77.3,41.1,30.9
2011,Punjab,22.7,95.0,37.7,32.9
2011,Uttarakhand,26.7,89.7,39.9,39.2
2011,Goa,27.6,86.6,32.3,40.3
2012,Bihar,36.5,71.7,53.0,37.3
2012,Jharkhand,28.3,86.3,44.7,38.8
2012,Odisha,32.2,76.6,39.6,36.1
2012,Chhattisgarh,26.2,87.4,45.3,38.1
2012,Madhya Pradesh,28.4,81.2,41.1,34.6
2012,Rajasthan,27.5,90.4,43.1,41.8
2012,Gujarat,28.4,84.9,37.4,39.3
2012,Maharashtra,33.3,79.6,39.6,33.6
2012,Karnataka,26.7,89.5,41.4,31.4
2012,Andhra Pradesh,31.5,85.5,36.2,35.1
2012,Telangana,35.8,82.9,38.1,36.2
2012,Tamil Nadu,29.1,87.4,43.3,31.9
2012,Kerala,32.9,91.2,34.1,34.2
2012,West Bengal,33.0,79.0,50.0,35.4
2012,Assam,31.5,71.2,44.0,37.0
2012,Uttar Pradesh,29.4,86.5,42.4,37.8
2012,Haryana,26.6,86.3,38.7,35.1
2012,Punjab,36.6,75.0,39.4,36.9
2012,Uttarakhand,28.3,89.8,28.0,36.7
2012,Goa,30.8,85.9,40.5,30.3
2013,Bihar,32.7,88.6,44.0,42.9
2013,Jharkhand,30.0,89.6,44.5,41.8
2013,Odisha,32.4,83.0,46.6,40.7
2013,Chhattisgarh,28.8,88.6,37.9,40.0
2013,Madhya Pradesh,19.9,83.6,52.3,36.9
2013,Rajasthan,24.7,85.2,33.2,29.2
2013,Gujarat,32.8,84.8,43.7,34.2
2013,Maharashtra,27.9,87.5,39.5,32.8
2013,Karnataka,36.1,92.0,45.5,37.1
2013,Andhra Pradesh,32.0,88.3,37.6,33.3
2013,Telangana,28.3,84.0,44.9,35.8
2013,Tamil Nadu,30.6,84.6,31.6,34.8
2013,Kerala,30.0,83.8,34.4,36.9
2013,West Bengal,32.7,89.3,41.9,34.7
2013,Assam,26.1,92.7,44.5,35.2
2013,Uttar Pradesh,27.6,76.8,46.3,38.1
2013,Haryana,27.1,95.0,39.4,37.4
2013,Punjab,27.6,89.6,37.7,36.1
2013,Uttarakhand,26.6,82.2,33.4,32.8
2013,Goa,28.9,90.4,34.8,31.5
2014,Bihar,34.3,78.3,46.3,40.6
2014,Jharkhand,31.7,79.2,50.2,37.6
2014,Odisha,28.5,80.2,37.2,36.0
2014,Chhattisgarh,29.3,91.7,46.1,38.2
2014,Madhya Pradesh,25.7,82.7,39.7,35.8
2014,Rajasthan,35.9,87.3,36.7,36.2
2014,Gujarat,27.9,87.1,37.7,34.6
2014,Maharashtra,27.7,79.3,37.0,35.9
2014,Karnataka,38.2,89.0,44.8,34.2
2014,Andhra Pradesh,26.4,82.9,42.6,40.1
2014,Telangana,36.4,87.8,44.0,34.4
2014,Tamil Nadu,32.5,79.9,39.0,34.0
2014,Kerala,28.0,76.8,41.6,39.4
2014,West Bengal,31.3,82.3,41.8,35.5
2014,Assam,31.0,88.0,46.7,34.7
2014,Uttar Pradesh,32.6,84.9,38.0,39.5
2014,Haryana,28.2,84.3,36.2,35.7
2014,Punjab,26.3,91.8,40.6,34.1
2014,Uttarakhand,27.7,73.2,39.2,34.1
2014,Goa,31.0,80.9,30.4,30.1
2015,Bihar,36.0,84.0,47.9,42.1
2015,Jharkhand,31.5,84.4,41.2,39.8
2015,Odisha,38.1,82.0,48.9,38.7
2015,Chhattisgarh,35.5,88.3,39.9,36.9
2015,Madhya Pradesh,34.5,95.0,38.7,34.3
2015,Rajasthan,30.4,87.1,41.1,36.4
2015,Gujarat,29.6,79.3,38.9,34.8
2015,Maharashtra,28.1,80.8,37.3,33.1
2015,Karnataka,25.5,85.2,47.4,33.9
2015,Andhra Pradesh,29.9,85.3,39.2,31.0
2015,Telangana,32.3,95.0,43.6,34.9
2015,Tamil Nadu,24.6,89.1,38.2,41.8
2015,Kerala,27.7,91.0,42.3,34.8
2015,West Bengal,26.4,83.2,37.0,34.5
2015,Assam,30.2,88.4,46.4,40.1
2015,Uttar Pradesh,34.5,80.1,47.3,34.5
2015,Haryana,30.5,84.0,41.9,36.0
2015,Punjab,34.6,92.3,42.0,30.8
2015,Uttarakhand,27.7,83.2,34.0,29.9
2015,Goa,28.1,84.2,35.1,38.5
2016,Bihar,34.3,94.2,46.5,35.8
2016,Jharkhand,31.8,77.2,48.8,43.6
2016,Odisha,33.7,82.7,43.7,41.7
2016,Chhattisgarh,31.9,92.0,51.3,35.6
2016,Madhya Pradesh,35.5,86.0,44.2,42.1
2016,Rajasthan,31.9,85.2,39.5,37.3
2016,Gujarat,30.3,83.4,49.1,35.9
2016,Maharashtra,30.3,81.0,40.5,38.5
2016,Karnataka,34.1,91.8,35.6,34.7
2016,Andhra Pradesh,32.5,89.7,34.6,40.4
2016,Telangana,25.1,90.2,43.3,38.4
2016,Tamil Nadu,31.1,81.1,38.3,33.9
2016,Kerala,23.2,93.7,32.9,29.8
2016,West Bengal,35.9,79.3,36.6,38.2
2016,Assam,25.8,90.4,44.9,40.1
2016,Uttar Pradesh,35.5,85.0,43.1,38.5
2016,Haryana,32.9,80.4,39.7,40.0
2016,Punjab,28.9,82.2,42.1,35.7
2016,Uttarakhand,28.5,82.7,37.4,30.4
2016,Goa,27.9,93.8,40.2,29.6
2017,Bihar,32.0,83.4,42.1,41.2
2017,Jharkhand,32.2,86.3,46.5,34.8
2017,Odisha,32.3,82.7,42.4,37.9
2017,Chhattisgarh,27.6,89.1,47.7,33.0
2017,Madhya Pradesh,32.3,82.2,39.0,40.2
2017,Rajasthan,28.4,82.4,41.5,35.9
2017,Gujarat,34.3,92.9,42.8,36.3
2017,Maharashtra,26.4,94.3,42.5,33.2
2017,Karnataka,26.2,94.7,41.3,21.0
2017,Andhra Pradesh,31.5,91.2,42.8,37.7
2017,Telangana,21.9,90.2,41.0,29.1
2017,Tamil Nadu,29.8,87.8,38.2,35.1
2017,Kerala,26.2,87.6,35.3,30.0
2017,West Bengal,25.4,80.0,47.8,39.5
2017,Assam,31.8,82.6,39.8,31.6
2017,Uttar Pradesh,31.6,81.0,46.5,28.1
2017,Haryana,28.1,91.7,38.4,43.0
2017,Punjab,29.2,91.4,35.9,25.9
2017,Uttarakhand,29.5,92.0,31.8,29.4
2017,Goa,20.7,92.0,36.4,19.2
2018,Bihar,35.2,80.3,50.9,43.1
2018,Jharkhand,33.5,73.1,40.1,38.7
2018,Odisha,32.6,86.7,40.4,40.9
2018,Chhattisgarh,34.3,77.0,40.6,40.0
2018,Madhya Pradesh,32.9,81.7,44.3,39.0
2018,Rajasthan,32.0,78.6,38.3,39.1
2018,Gujarat,28.5,83.4,40.5,37.3
2018,Maharashtra,33.7,75.0,37.2,35.9
2018,Karnataka,27.9,77.5,39.6,39.6
2018,Andhra Pradesh,28.1,83.0,46.2,39.1
2018,Telangana,34.2,81.8,44.4,42.0
2018,Tamil Nadu,31.2,81.3,39.3,36.5
2018,Kerala,32.2,81.9,39.9,35.7
2018,West Bengal,31.2,74.2,43.4,42.9
2018,Assam,27.5,88.8,43.4,38.8
2018,Uttar Pradesh,34.8,95.0,34.0,40.1
2018,Haryana,25.4,82.4,44.7,32.4
2018,Punjab,30.0,83.0,44.4,35.4
2018,Uttarakhand,22.2,88.2,39.2,33.7
2018,Goa,27.2,95.0,37.2,27.6
2019,Bihar,33.9,83.3,39.4,42.7
2019,Jharkhand,34.3,71.8,44.3,42.3
2019,Odisha,35.9,86.4,42.2,36.2
2019,Chhattisgarh,32.1,86.5,46.0,34.9
2019,Madhya Pradesh,31.4,76.6,42.2,41.9
2019,Rajasthan,27.6,79.4,37.4,33.0
2019,Gujarat,29.7,70.9,42.3,34.0
2019,Maharashtra,27.7,84.1,41.3,37.6
2019,Karnataka,32.2,84.5,40.3,44.0
2019,Andhra Pradesh,28.6,76.2,40.0,36.5
2019,Telangana,36.8,80.0,41.1,38.4
2019,Tamil Nadu,35.9,85.2,47.9,35.7
2019,Kerala,25.3,84.2,44.7,39.8
2019,West Bengal,35.6,88.0,45.2,29.1
2019,Assam,30.9,81.6,32.5,35.5
2019,Uttar Pradesh,37.4,82.2,42.7,41.0
2019,Haryana,31.4,84.7,38.8,32.3
2019,Punjab,31.0,88.1,41.4,32.7
2019,Uttarakhand,29.3,84.3,39.4,37.6
2019,Goa,26.2,81.4,32.3,30.3
2020,Bihar,36.7,86.8,43.4,40.5
2020,Jharkhand,29.9,87.3,42.9,36.3
2020,Odisha,32.8,95.0,42.9,37.4
2020,Chhattisgarh,31.7,78.7,47.7,34.5
2020,Madhya Pradesh,24.9,88.7,45.5,33.7
2020,Rajasthan,32.5,80.5,43.4,38.9
2020,Gujarat,23.0,88.1,40.0,32.1
2020,Maharashtra,27.5,78.4,32.7,28.8
2020,Karnataka,26.7,91.7,42.0,34.9
2020,Andhra Pradesh,32.3,89.2,45.3,33.5
2020,Telangana,28.0,92.0,43.3,42.8
2020,Tamil Nadu,26.4,83.6,41.8,30.0
2020,Kerala,26.7,89.8,44.0,30.4
2020,West Bengal,30.3,89.2,40.7,36.4
2020,Assam,32.7,87.5,49.1,35.1
2020,Uttar Pradesh,34.7,83.8,39.3,38.1
2020,Haryana,28.4,90.1,42.9,32.4
2020,Punjab,26.1,90.0,37.8,30.9
2020,Uttarakhand,26.8,83.5,41.3,33.4
2020,Goa,25.6,78.9,34.1,30.4
2021,Bihar,28.7,82.1,48.4,36.9
2021,Jharkhand,33.9,94.1,54.6,39.5
2021,Odisha,31.3,86.0,35.4,32.6
