year,region,oni_value,rainfall_deviation,temperature_anomaly,drought_index
2000,Punjab,-1.39,0.225,-0.135,0.163
2000,Uttarakhand,0.11,-0.545,0.159,0.438
2000,Goa,0.03,-0.213,-0.016,0.187
2001,Bihar,-1.4,-0.098,-0.22,0.232
2001,Jharkhand,-1.31,0.036,-0.354,0.138
2001,Odisha,-0.01,0.572,-0.092,0.21
2001,Chhattisgarh,-0.67,-0.058,0.068,0.078
2001,Madhya Pradesh,-0.14,0.032,-0.029,0.269
2001,Rajasthan,-0.51,0.52,0.06,0.0
2001,Gujarat,-0.73,-0.061,0.162,0.266
2001,Maharashtra,-1.04,0.113,-0.327,0.205
2001,Karnataka,-1.28,0.255,-0.326,0.204
2001,Andhra Pradesh,0.04,0.298,-0.328,0.246
2001,Telangana,-0.23,0.168,-0.079,0.191
2001,Tamil Nadu,0.02,-0.005,0.036,0.258
2001,Kerala,-0.9,0.338,0.1,0.253
2001,West Bengal,-0.02,-0.074,0.294,0.221
2001,Assam,-0.51,0.275,-0.169,0.192
2001,Uttar Pradesh,0.32,-0.374,0.308,0.526
2001,Haryana,-0.69,-0.254,-0.268,0.064
2001,Punjab,-1.81,0.351,-0.357,0.0
2001,Uttarakhand,-1.44,0.352,-0.205,0.0
2001,Goa,-0.58,0.217,-0.202,0.221
2002,Bihar,0.84,0.182,-0.317,0.503
2002,Jharkhand,0.98,0.241,-0.191,0.56
2002,Odisha,1.27,-0.732,-0.049,0.546
2002,Chhattisgarh,2.04,-0.668,0.106,0.682
2002,Madhya Pradesh,1.24,0.053,0.052,0.445
2002,Rajasthan,1.6,-0.408,0.134,0.597
2002,Gujarat,1.64,0.044,0.149,0.576
2002,Maharashtra,0.66,0.238,0.034,0.24
2002,Karnataka,1.48,-0.421,0.235,0.654
2002,Andhra Pradesh,1.62,-0.387,0.392,0.572
2002,Telangana,2.05,-0.11,0.548,0.554
2002,Tamil Nadu,2.2,0.528,0.249,0.582
2002,Kerala,1.31,-0.249,0.298,0.544
2002,West Bengal,1.48,-0.206,-0.313,0.472
2002,Assam,1.12,-0.028,0.129,0.537
2002,Uttar Pradesh,1.65,-0.762,-0.01,0.778
2002,Haryana,2.05,-0.247,0.262,0.631
2002,Punjab,1.48,-0.165,0.56,0.503
2002,Uttarakhand,1.65,0.006,0.196,0.672
2002,Goa,1.28,-0.154,0.09,0.596
2003,Bihar,1.19,-0.461,0.355,0.634
2003,Jharkhand,1.32,-0.563,0.173,0.616
2003,Odisha,0.46,-0.063,0.012,0.334
2003,Chhattisgarh,1.39,-0.205,0.068,0.468
2003,Madhya Pradesh,1.87,-0.41,0.307,0.76
2003,Rajasthan,1.56,-0.464,0.142,0.547
2003,Gujarat,0.73,0.366,-0.126,0.232
2003,Maharashtra,1.8,-0.455,-0.173,0.586
2003,Karnataka,1.7,-0.181,0.353,0.646
2003,Andhra Pradesh,0.39,-0.195,0.115,0.289
2003,Telangana,2.24,-0.332,0.4,0.73
2003,Tamil Nadu,2.22,-0.461,0.411,0.818
2003,Kerala,1.72,-0.406,0.525,0.641
2003,West Bengal,1.33,-0.078,0.553,0.488
2003,Assam,1.6,0.06,-0.052,0.373
2003,Uttar Pradesh,2.39,-0.415,-0.22,0.722
2003,Haryana,1.48,-0.162,-0.119,0.335
2003,Punjab,3.0,-0.006,0.464,0.712
2003,Uttarakhand,1.8,-0.48,0.153,0.658
2003,Goa,2.17,-0.34,-0.218,0.765
2004,Bihar,1.23,0.109,0.155,0.393
2004,Jharkhand,0.48,-0.504,0.26,0.608
2004,Odisha,1.56,0.106,0.546,0.455
2004,Chhattisgarh,0.91,-0.054,0.272,0.434
2004,Madhya Pradesh,1.96,-0.048,0.05,0.564
2004,Rajasthan,0.74,-0.506,0.029,0.394
2004,Gujarat,1.7,-0.079,-0.046,0.574
2004,Maharashtra,1.44,-0.25,0.137,0.651
2004,Karnataka,1.43,-0.872,0.005,0.812
2004,Andhra Pradesh,2.04,-0.399,0.043,0.857
2004,Telangana,1.37,0.329,0.067,0.26
2004,Tamil Nadu,1.65,-0.203,0.097,0.692
2004,Kerala,1.47,-0.367,0.055,0.796
2004,West Bengal,0.24,0.216,0.306,0.442
2004,Assam,0.41,0.079,0.488,0.41
2004,Uttar Pradesh,0.91,0.155,0.055,0.439
2004,Haryana,1.78,-0.053,-0.179,0.496
2004,Punjab,2.21,-0.6,-0.022,0.732
2004,Uttarakhand,1.5,0.055,-0.035,0.679
2004,Goa,1.01,-0.164,0.099,0.386
2005,Bihar,0.27,-0.067,-0.172,0.258
2005,Jharkhand,0.83,-0.372,0.062,0.44
2005,Odisha,-0.54,0.116,-0.123,0.169
2005,Chhattisgarh,1.05,-0.005,-0.27,0.504
2005,Madhya Pradesh,0.83,-0.697,-0.19,0.461
2005,Rajasthan,0.49,-0.406,0.206,0.573
2005,Gujarat,-0.26,-0.303,-0.049,0.328
2005,Maharashtra,-0.67,-0.011,-0.234,0.185
2005,Karnataka,-0.96,0.073,0.415,0.281
2005,Andhra Pradesh,-0.33,0.275,0.052,0.156
2005,Telangana,-0.76,-0.372,-0.167,0.35
2005,Tamil Nadu,-0.4,0.01,-0.117,0.502
2005,Kerala,0.11,0.012,0.011,0.308
2005,West Bengal,0.25,-0.114,0.135,0.296
2005,Assam,0.02,-0.416,-0.125,0.35
2005,Uttar Pradesh,-1.43,0.305,0.021,0.0
2005,Haryana,0.58,-0.385,0.145,0.453
2005,Punjab,-0.73,-0.204,-0.172,0.169
2005,Uttarakhand,-0.25,0.075,-0.088,0.159
2005,Goa,-0.15,0.194,-0.381,0.171
2006,Bihar,1.68,0.016,0.285,0.663
2006,Jharkhand,1.44,-0.415,-0.017,0.479
2006,Odisha,1.25,-0.176,0.329,0.525
2006,Chhattisgarh,2.45,0.182,-0.008,0.722
2006,Madhya Pradesh,0.69,-0.197,-0.094,0.53
2006,Rajasthan,2.49,0.007,0.204,0.642
2006,Gujarat,1.32,-0.953,-0.32,0.587
2006,Maharashtra,1.52,-0.708,0.403,0.601
2006,Karnataka,1.03,-0.192,-0.04,0.723
2006,Andhra Pradesh,1.63,0.17,0.259,0.674
2006,Telangana,2.25,-0.131,0.573,0.509
2006,Tamil Nadu,1.25,-0.151,0.297,0.461
2006,Kerala,1.4,-0.206,0.259,0.415
2006,West Bengal,1.58,-0.266,-0.04,0.584
2006,Assam,2.03,0.122,0.362,0.487
2006,Uttar Pradesh,2.21,-0.271,0.671,0.702
2006,Haryana,0.56,0.148,0.298,0.268
2006,Punjab,1.22,0.039,-0.135,0.384
2006,Uttarakhand,2.3,-0.542,0.586,0.812
2006,Goa,0.72,-0.352,0.105,0.601
2007,Bihar,1.7,-0.199,0.274,0.65
2007,Jharkhand,1.53,-0.417,0.017,0.501
2007,Odisha,1.26,-0.078,0.268,0.493
2007,Chhattisgarh,3.0,-0.529,-0.051,0.786
2007,Madhya Pradesh,0.95,-0.499,0.289,0.611
2007,Rajasthan,0.91,-0.586,-0.07,0.61
2007,Gujarat,1.55,-0.587,0.101,0.756
2007,Maharashtra,1.76,-0.366,0.237,0.669
2007,Karnataka,0.71,0.256,0.504,0.455
2007,Andhra Pradesh,1.87,-0.716,0.06,0.875
2007,Telangana,2.17,-0.581,0.225,0.767
2007,Tamil Nadu,0.66,0.191,-0.022,0.394
2007,Kerala,1.21,-0.062,-0.453,0.489
2007,West Bengal,2.08,-0.944,0.013,0.76
2007,Assam,1.26,-0.497,0.057,0.616
2007,Uttar Pradesh,1.83,0.344,0.334,0.603
2007,Haryana,1.4,-0.168,0.329,0.629
2007,Punjab,2.05,-0.222,0.281,0.658
2007,Uttarakhand,1.35,-0.056,-0.108,0.351
2007,Goa,1.82,-0.549,0.159,0.725
2008,Bihar,-0.24,-0.641,0.024,0.299
2008,Jharkhand,-1.38,0.032,-0.112,0.025
2008,Odisha,-0.26,0.167,-0.025,0.178
2008,Chhattisgarh,-0.92,0.06,-0.445,0.1
2008,Madhya Pradesh,0.19,-0.041,-0.423,0.135
2008,Rajasthan,-0.19,-0.006,0.197,0.174
2008,Gujarat,-0.47,0.103,-0.294,0.261
2008,Maharashtra,0.68,-0.201,-0.029,0.541
2008,Karnataka,-0.01,-0.281,-0.046,0.432
2008,Andhra Pradesh,0.94,0.14,-0.234,0.382
2008,Telangana,-0.6,0.357,0.147,0.27
2008,Tamil Nadu,-0.43,0.136,0.254,0.205
2008,Kerala,-0.07,0.505,-0.042,0.233
2008,West Bengal,0.16,-0.042,0.015,0.398
2008,Assam,-1.43,0.181,0.198,0.03
2008,Uttar Pradesh,-0.06,0.114,-0.035,0.309
2008,Haryana,0.63,-0.605,0.236,0.49
2008,Punjab,0.91,0.367,0.216,0.243
2008,Uttarakhand,0.07,0.045,0.117,0.168
2008,Goa,-0.84,-0.038,-0.077,0.316
2009,Bihar,2.08,0.413,-0.111,0.675
2009,Jharkhand,1.15,-0.312,-0.278,0.621
2009,Odisha,1.46,0.387,0.126,0.349
2009,Chhattisgarh,1.34,0.2,0.155,0.327
2009,Madhya Pradesh,2.32,-0.333,0.472,0.74
2009,Rajasthan,1.51,-0.106,0.035,0.579
2009,Gujarat,1.84,-0.856,-0.125,0.945
2009,Maharashtra,0.87,-0.05,-0.173,0.483
2009,Karnataka,1.08,-0.212,-0.126,0.382
2009,Andhra Pradesh,1.41,-0.296,0.207,0.638
2009,Telangana,1.53,-0.02,0.309,0.624
2009,Tamil Nadu,3.0,-0.562,0.254,0.818
2009,Kerala,3.0,-0.56,-0.093,0.952
2009,West Bengal,1.38,-0.589,0.19,0.446
2009,Assam,2.06,-0.083,0.077,0.491
2009,Uttar Pradesh,1.73,-0.814,-0.051,0.857
2009,Haryana,1.28,0.025,-0.193,0.469
2009,Punjab,2.09,-1.101,0.001,0.85
2009,Uttarakhand,1.46,-0.164,0.429,0.522
2009,Goa,1.64,-0.584,-0.062,0.877
2010,Bihar,0.67,-0.127,0.113,0.611
2010,Jharkhand,0.69,-0.208,0.073,0.257
2010,Odisha,0.47,-0.398,0.121,0.617
2010,Chhattisgarh,0.83,-0.028,-0.194,0.459
2010,Madhya Pradesh,1.34,-0.419,-0.136,0.444
2010,Rajasthan,1.89,-0.084,-0.154,0.577
2010,Gujarat,1.21,-0.578,-0.35,0.573
2010,Maharashtra,1.51,0.04,0.279,0.376
2010,Karnataka,2.22,-0.192,0.191,0.819
2010,Andhra Pradesh,1.47,-0.232,-0.028,0.805
2010,Telangana,2.29,0.059,0.286,0.586
2010,Tamil Nadu,1.64,0.264,-0.002,0.523
2010,Kerala,1.02,-0.339,-0.143,0.564
2010,West Bengal,2.11,-0.39,0.039,0.569
2010,Assam,1.0,0.2,0.152,0.435
2010,Uttar Pradesh,1.62,-0.134,-0.142,0.415
2010,Haryana,1.85,-0.099,0.003,0.614
2010,Punjab,0.92,-0.183,0.041,0.418
2010,Uttarakhand,2.02,-0.089,0.279,0.611
2010,Goa,1.44,-0.881,0.072,0.677
2011,Bihar,0.69,0.155,0.07,0.335
2011,Jharkhand,-0.81,-0.234,0.045,0.048
2011,Odisha,-0.48,0.305,-0.522,0.294
2011,Chhattisgarh,0.7,0.187,-0.085,0.294
2011,Madhya Pradesh,-0.37,-0.238,0.174,0.215
2011,Rajasthan,-0.32,1.084,0.032,0.0
2011,Gujarat,0.1,-0.267,-0.129,0.313
2011,Maharashtra,-0.38,0.148,-0.258,0.111
2011,Karnataka,0.13,0.082,-0.41,0.224
2011,Andhra Pradesh,-0.78,0.754,0.138,0.114
2011,Telangana,-0.85,-0.47,0.04,0.479
2011,Tamil Nadu,0.24,-0.076,-0.005,0.49
2011,Kerala,-0.75,0.238,0.019,0.335
2011,West Bengal,-0.04,0.073,-0.019,0.344
2011,Assam,-0.7,0.545,-0.11,0.042
2011,Uttar Pradesh,0.03,0.331,-0.091,0.326
2011,Haryana,0.12,0.536,0.088,0.171
2011,Punjab,-0.53,0.587,-0.185,0.035
2011,Uttarakhand,-0.41,-0.136,0.303,0.247
2011,Goa,0.07,-0.724,0.071,0.459
2012,Bihar,1.07,-0.131,-0.213,0.498
2012,Jharkhand,2.42,-0.056,0.309,0.588
2012,Odisha,1.16,-0.067,-0.086,0.262
2012,Chhattisgarh,2.01,-0.41,0.071,0.878
2012,Madhya Pradesh,1.42,0.008,-0.198,0.452
2012,Rajasthan,2.67,-0.306,0.308,0.692
2012,Gujarat,0.85,-0.405,-0.164,0.534
2012,Maharashtra,1.45,0.163,0.009,0.509
2012,Karnataka,2.24,-0.243,0.253,0.821
2012,Andhra Pradesh,1.39,-0.656,0.1,0.474
2012,Telangana,1.7,-0.902,0.129,0.633
2012,Tamil Nadu,0.69,0.018,0.173,0.647
2012,Kerala,2.09,-0.152,0.165,0.613
2012,West Bengal,1.65,-0.403,0.284,0.668
2012,Assam,1.76,-0.36,0.492,0.545
2012,Uttar Pradesh,0.61,0.235,-0.213,0.424
2012,Haryana,2.26,-0.564,0.199,0.848
2012,Punjab,2.12,-0.675,0.123,0.772
2012,Uttarakhand,0.95,-0.052,-0.145,0.522
2012,Goa,1.58,-0.483,0.326,0.566
2013,Bihar,0.32,-0.268,0.089,0.378
2013,Jharkhand,0.05,0.124,0.213,0.319
2013,Odisha,-0.44,0.206,0.066,0.344
2013,Chhattisgarh,-0.49,0.172,0.197,0.381
2013,Madhya Pradesh,-1.11,0.037,-0.069,0.325
2013,Rajasthan,-1.08,0.15,-0.073,0.192
2013,Gujarat,-0.92,-0.216,-0.011,0.086
2013,Maharashtra,-0.23,-0.216,-0.03,0.232
2013,Karnataka,-0.89,0.155,-0.196,0.04
2013,Andhra Pradesh,1.28,-0.428,-0.41,0.533
2013,Telangana,1.09,-0.133,-0.037,0.428
2013,Tamil Nadu,0.01,-0.225,-0.023,0.383
2013,Kerala,0.38,0.116,0.115,0.299
2013,West Bengal,0.49,-0.182,0.097,0.426
2013,Assam,0.06,-0.107,-0.026,0.301
2013,Uttar Pradesh,-0.42,0.029,-0.054,0.224
2013,Haryana,0.2,-0.459,0.373,0.362
2013,Punjab,0.76,-0.004,-0.137,0.522
2013,Uttarakhand,-0.88,-0.26,-0.085,0.223
2013,Goa,1.38,-0.034,-0.234,0.203
2014,Bihar,1.52,-0.064,0.118,0.638
2014,Jharkhand,1.49,-0.235,0.154,0.335
2014,Odisha,1.95,-0.488,0.066,0.666
2014,Chhattisgarh,0.29,-0.349,0.263,0.454
2014,Madhya Pradesh,1.06,-0.151,0.02,0.469
2014,Rajasthan,0.54,0.097,0.177,0.413
2014,Gujarat,0.69,-0.463,-0.153,0.452
2014,Maharashtra,1.76,-0.369,0.186,0.798
2014,Karnataka,1.87,0.096,0.211,0.517
2014,Andhra Pradesh,1.19,-0.207,-0.06,0.57
2014,Telangana,1.3,0.054,0.141,0.352
2014,Tamil Nadu,2.54,-0.22,0.126,0.658
2014,Kerala,1.4,0.356,0.389,0.475
2014,West Bengal,1.55,-0.87,0.246,0.616
2014,Assam,1.3,-0.093,0.068,0.372
2014,Uttar Pradesh,1.85,-0.219,-0.194,0.812
2014,Haryana,1.16,-0.377,0.179,0.657
2014,Punjab,1.64,-0.723,-0.199,0.733
2014,Uttarakhand,0.94,-0.294,-0.163,0.588
2014,Goa,1.99,-0.865,0.392,0.854
2015,Bihar,1.5,-0.473,0.195,0.439
2015,Jharkhand,2.16,-0.543,0.179,0.73
2015,Odisha,1.32,-0.091,-0.318,0.606
2015,Chhattisgarh,1.75,-0.241,0.31,0.542
2015,Madhya Pradesh,0.64,0.513,0.112,0.341
2015,Rajasthan,0.97,0.336,0.286,0.365
2015,Gujarat,1.51,0.013,0.45,0.582
2015,Maharashtra,1.19,0.265,0.191,0.563
2015,Karnataka,1.75,-0.124,0.024,0.634
2015,Andhra Pradesh,1.5,-0.616,0.446,0.64
2015,Telangana,1.47,-0.664,0.441,0.671
2015,Tamil Nadu,1.24,-0.473,0.511,0.562
2015,Kerala,0.85,-0.059,0.192,0.44
2015,West Bengal,1.54,-0.583,0.003,0.626
2015,Assam,1.26,-0.59,0.177,0.682
2015,Uttar Pradesh,2.06,-0.901,0.435,0.828
2015,Haryana,1.18,0.437,-0.031,0.365
2015,Punjab,2.13,-0.278,0.819,0.781
2015,Uttarakhand,1.79,-0.641,-0.154,0.721
2015,Goa,1.94,-0.518,0.33,0.806
2016,Bihar,0.58,0.027,-0.152,0.473
2016,Jharkhand,1.7,0.473,0.157,0.607
2016,Odisha,2.41,0.18,0.22,0.594
2016,Chhattisgarh,1.96,0.106,-0.23,0.598
2016,Madhya Pradesh,1.82,-0.105,0.223,0.633
2016,Rajasthan,1.61,-0.182,0.153,0.376
2016,Gujarat,2.09,-0.562,0.167,0.813
2016,Maharashtra,1.68,0.347,0.024,0.663
2016,Karnataka,1.49,-0.319,0.069,0.687
2016,Andhra Pradesh,0.94,-0.221,0.396,0.343
2016,Telangana,1.31,0.023,-0.16,0.493
2016,Tamil Nadu,1.18,0.101,0.366,0.292
2016,Kerala,1.93,-0.477,0.017,0.695
2016,West Bengal,1.15,-0.195,0.156,0.559
2016,Assam,2.28,-0.293,0.142,0.613
2016,Uttar Pradesh,1.83,-0.324,-0.066,0.626
2016,Haryana,1.78,-0.384,0.197,0.538
2016,Punjab,1.98,-0.059,0.541,0.539
2016,Uttarakhand,1.14,0.006,0.236,0.393
2016,Goa,1.6,-0.113,0.209,0.564
2017,Bihar,0.34,0.141,-0.134,0.408
2017,Jharkhand,-0.23,0.085,0.053,0.132
2017,Odisha,-0.25,0.539,0.323,0.253
2017,Chhattisgarh,-0.0,0.149,-0.116,0.136
2017,Madhya Pradesh,-0.3,0.104,0.149,0.2
2017,Rajasthan,0.11,0.131,0.309,0.185
2017,Gujarat,0.55,0.036,0.136,0.407
2017,Maharashtra,-0.27,-0.338,-0.065,0.337
2017,Karnataka,-0.29,0.012,-0.017,0.302
2017,Andhra Pradesh,0.34,0.525,-0.372,0.398
2017,Telangana,-0.53,-0.479,0.096,0.491
2017,Tamil Nadu,0.42,0.117,-0.076,0.323
2017,Kerala,0.6,-0.119,0.112,0.395
2017,West Bengal,-1.52,0.342,-0.075,0.089
2017,Assam,0.28,-0.311,0.385,0.369
2017,Uttar Pradesh,-0.42,0.407,0.086,0.157
2017,Haryana,0.11,0.755,-0.293,0.141
2017,Punjab,-0.08,0.07,-0.348,0.22
2017,Uttarakhand,0.16,0.174,-0.343,0.403
2017,Goa,-0.79,0.079,0.015,0.198
2018,Bihar,2.95,-0.272,0.117,0.989
2018,Jharkhand,1.47,0.113,0.625,0.529
2018,Odisha,1.47,0.311,0.225,0.367
2018,Chhattisgarh,2.86,-0.368,0.074,0.844
2018,Madhya Pradesh,1.16,-0.478,0.471,0.617
2018,Rajasthan,1.27,-0.589,0.131,0.588
2018,Gujarat,1.62,-0.487,0.095,0.443
2018,Maharashtra,2.36,-0.135,0.382,0.826
2018,Karnataka,1.97,-0.302,0.385,0.787
2018,Andhra Pradesh,1.78,0.339,0.178,0.743
2018,Telangana,2.18,-0.436,0.164,0.708
2018,Tamil Nadu,2.7,-0.049,0.221,0.693
2018,Kerala,2.53,-0.452,0.213,0.683
2018,West Bengal,1.53,-0.189,0.213,0.539
2018,Assam,1.85,-0.227,0.254,0.554
2018,Uttar Pradesh,0.4,-0.505,0.164,0.182
2018,Haryana,0.42,0.066,-0.008,0.362
2018,Punjab,2.64,-0.03,0.052,0.694
2018,Uttarakhand,1.26,-0.359,-0.01,0.421
2018,Goa,1.61,-0.39,-0.296,0.712
2019,Bihar,1.64,-0.261,0.304,0.658
2019,Jharkhand,1.96,-0.28,-0.017,0.552
2019,Odisha,0.7,0.045,0.074,0.331
2019,Chhattisgarh,1.32,-0.035,-0.056,0.58
2019,Madhya Pradesh,2.0,-0.347,0.013,0.629
2019,Rajasthan,1.19,-0.439,0.126,0.616
2019,Gujarat,1.98,-0.21,0.174,0.379
2019,Maharashtra,0.86,-0.54,0.224,0.608
2019,Karnataka,2.09,-0.567,0.367,0.723
2019,Andhra Pradesh,2.28,-0.559,0.128,0.733
2019,Telangana,2.7,-0.104,0.405,0.699
2019,Tamil Nadu,2.04,-0.746,0.31,0.752
2019,Kerala,2.07,-0.446,0.063,0.632
2019,West Bengal,0.5,-0.182,-0.167,0.511
2019,Assam,1.46,0.406,0.382,0.253
2019,Uttar Pradesh,1.52,0.025,-0.267,0.485
2019,Haryana,0.7,-0.172,-0.035,0.426
