year,region,oni_value,rainfall_deviation,temperature_anomaly,drought_index,crop_production_index,crop_yield_tons_ha,agricultural_loss_pct,irrigation_coverage_pct,malnutrition_pct,food_security_index,infant_mortality_rate,stunting_pct,risk_score
1995,Madhya Pradesh,-0.43,0.034,-0.085,0.243,106.0,2.15,2.0,64.9,29.1,86.8,34.2,36.1,28.1
1995,Rajasthan,1.18,-0.637,0.267,0.572,94.4,2.22,9.3,60.9,32.7,93.1,46.6,38.2,53.3
1995,Gujarat,1.2,-0.048,0.261,0.459,95.9,2.3,14.8,41.0,33.1,83.0,45.4,38.5,46.6
1995,Maharashtra,1.26,0.031,-0.214,0.476,92.1,2.32,17.5,55.0,29.3,77.7,40.6,32.9,51.3
1995,Karnataka,-0.74,0.204,0.172,0.21,96.1,2.61,2.0,69.2,33.3,77.3,38.0,36.5,30.0
1995,Andhra Pradesh,-1.47,0.663,-0.044,0.032,104.7,2.77,3.2,73.6,28.4,90.1,36.7,33.9,31.6
1995,Telangana,-0.32,0.163,0.174,0.113,101.1,2.76,0.0,56.0,27.8,93.6,39.8,37.7,28.6
1995,Tamil Nadu,0.49,0.18,0.15,0.57,98.0,2.17,14.6,52.5,29.8,91.7,32.9,31.2,45.3
1995,Kerala,-1.48,-0.016,-0.031,0.133,106.0,2.41,0.0,72.3,22.2,94.9,38.3,30.2,24.3
1995,West Bengal,0.41,0.008,0.139,0.289,98.0,2.5,10.7,53.6,33.0,82.9,42.2,40.1,37.6
1995,Assam,-1.79,-0.12,-0.44,0.0,104.0,2.75,0.0,75.9,31.4,95.0,41.0,39.1,30.7
1995,Uttar Pradesh,-0.13,-0.232,-0.129,0.179,97.3,2.44,9.0,74.8,27.5,86.2,39.1,39.4,37.3
1995,Haryana,-0.3,-0.504,0.161,0.294,98.5,2.34,1.5,65.9,26.0,91.1,39.6,36.5,39.1
1995,Punjab,-0.47,-0.372,0.176,0.27,104.3,2.58,3.2,66.6,31.6,95.0,37.7,32.4,34.7
1995,Uttarakhand,0.66,-0.353,0.119,0.467,97.9,2.3,0.4,38.1,23.6,86.9,37.8,39.0,44.6
1995,Goa,0.68,-0.391,0.124,0.44,96.0,2.45,11.6,51.8,30.3,81.6,36.5,40.0,43.4
1996,Bihar,-0.02,0.433,0.017,0.268,100.8,2.5,0.2,63.6,28.2,89.8,48.7,39.0,35.4
1996,Jharkhand,-0.43,0.201,-0.096,0.289,96.4,2.49,0.0,51.5,34.8,90.6,41.0,33.1,30.5
1996,Odisha,-2.5,0.212,0.284,0.0,107.5,2.78,0.0,77.6,28.9,88.3,45.6,37.0,31.2
1996,Chhattisgarh,0.33,-0.257,0.206,0.564,95.4,2.33,13.5,55.8,36.9,80.4,49.3,39.0,39.5
1996,Madhya Pradesh,0.01,0.468,-0.072,0.113,99.6,2.59,0.0,65.0,27.1,93.7,32.1,33.1,24.5
1996,Rajasthan,-1.55,-0.015,-0.074,0.053,104.6,2.6,0.0,64.3,29.7,92.6,42.2,36.1,30.8
1996,Gujarat,0.04,0.605,-0.014,0.154,98.8,2.37,0.0,52.6,27.2,90.7,39.9,31.5,25.9
1996,Maharashtra,0.52,0.144,0.01,0.284,100.1,2.49,0.0,55.3,27.5,85.1,39.8,28.7,36.2
1996,Karnataka,0.87,0.244,0.019,0.418,90.2,2.27,6.5,44.5,32.4,95.0,36.4,33.4,45.9
1996,Andhra Pradesh,-0.01,0.485,-0.245,0.226,106.5,2.28,0.0,56.7,25.3,94.1,40.8,28.4,28.2
1996,Telangana,0.21,-0.205,0.272,0.31,96.9,2.55,10.1,61.9,24.8,88.2,36.4,36.3,33.9
1996,Tamil Nadu,-1.34,0.335,-0.268,0.0,107.5,2.66,0.0,82.3,23.9,91.6,38.9,30.0,25.4
1996,Kerala,0.18,-0.187,-0.068,0.5,95.9,2.11,14.1,79.0,26.7,76.7,35.8,32.1,36.4
1996,West Bengal,-0.35,-0.281,0.088,0.356,96.2,2.62,14.4,64.2,31.4,82.0,45.5,33.2,39.5
1996,Assam,-0.07,-0.107,0.364,0.294,105.0,2.33,7.9,63.1,26.9,87.6,46.4,35.1,35.9
1996,Uttar Pradesh,-1.55,0.228,-0.305,0.0,105.6,2.38,0.0,76.3,27.0,75.7,45.3,36.6,27.6
1996,Haryana,-0.77,-0.279,0.105,0.275,109.3,2.61,4.4,64.8,27.9,93.9,42.5,30.4,39.2
1996,Punjab,-0.55,-0.061,0.114,0.38,100.4,2.48,4.5,62.4,29.4,77.9,34.5,30.1,31.2
1996,Uttarakhand,-2.06,0.019,-0.348,0.0,110.6,2.63,0.0,76.0,28.2,87.0,34.3,33.5,31.4
1996,Goa,-0.38,0.251,-0.033,0.263,98.7,2.54,1.9,53.3,20.1,94.2,34.4,27.4,25.5
1997,Bihar,1.44,0.122,-0.341,0.342,92.4,2.61,11.9,54.6,30.9,75.7,47.4,40.7,49.7
1997,Jharkhand,1.83,-0.331,0.202,0.656,95.3,2.46,4.9,27.4,34.9,90.4,40.1,32.9,58.9
1997,Odisha,1.56,0.045,0.484,0.576,93.5,2.24,11.2,45.1,29.9,92.8,51.2,42.4,57.6
1997,Chhattisgarh,0.95,0.114,0.204,0.464,100.7,2.53,12.3,57.5,32.7,75.1,43.3,36.3,45.0
1997,Madhya Pradesh,0.73,0.395,0.404,0.467,99.0,2.66,7.2,55.8,27.0,87.7,42.3,32.7,43.8
1997,Rajasthan,1.47,-0.244,0.477,0.659,94.4,2.41,11.6,46.6,28.2,83.0,39.0,33.4,54.5
1997,Gujarat,1.81,-0.154,-0.213,0.589,96.4,2.51,17.7,45.9,28.7,77.8,42.2,37.8,53.9
1997,Maharashtra,2.27,-0.011,0.155,0.519,91.1,2.35,13.1,37.2,31.5,81.4,37.9,36.9,59.5
1997,Karnataka,1.26,-0.116,0.155,0.398,93.9,2.61,4.5,33.0,23.7,86.6,40.8,34.9,50.0
1997,Andhra Pradesh,2.23,-1.136,0.257,1.0,86.5,2.21,12.4,35.0,31.3,89.5,49.4,36.6,71.7
1997,Telangana,2.64,-0.386,0.562,0.764,90.4,2.32,32.2,45.7,33.1,82.4,40.7,38.1,74.6
1997,Tamil Nadu,2.05,-0.297,0.219,0.668,93.3,2.39,4.1,49.0,25.2,80.2,38.9,34.1,56.6
1997,Kerala,1.08,0.087,-0.182,0.405,94.6,2.41,10.6,43.3,29.6,87.5,29.4,26.6,39.1
1997,West Bengal,1.49,-0.29,0.099,0.579,94.9,2.51,6.0,38.7,27.7,86.4,47.7,35.9,52.5
1997,Assam,-0.0,-0.511,-0.167,0.346,97.8,2.48,4.5,68.4,27.9,81.9,43.9,31.7,33.2
1997,Uttar Pradesh,1.73,-0.229,0.109,0.765,91.6,2.66,11.3,35.9,33.2,77.0,40.8,40.1,55.3
1997,Haryana,1.83,-0.462,0.344,0.783,97.0,2.41,20.1,30.3,29.5,79.2,39.7,33.8,67.1
1997,Punjab,1.4,0.355,0.078,0.481,95.1,2.42,9.9,52.4,31.9,94.7,39.7,35.6,48.1
1997,Uttarakhand,0.81,-0.148,0.253,0.538,97.5,2.56,11.0,63.1,30.0,84.1,40.9,26.0,43.4
1997,Goa,1.73,-1.354,-0.206,0.875,92.7,2.12,11.1,57.1,26.1,95.0,36.7,33.7,64.3
1998,Bihar,2.47,-0.331,-0.003,0.726,90.6,2.08,14.3,34.3,37.8,80.4,44.7,40.7,62.7
1998,Jharkhand,1.63,-0.06,-0.069,0.453,97.5,2.3,4.6,50.5,32.9,77.3,44.9,40.4,48.2
1998,Odisha,1.72,-0.069,-0.143,0.606,92.9,2.29,16.4,58.0,39.5,87.4,43.9,40.9,61.4
1998,Chhattisgarh,1.96,-0.258,0.183,0.728,92.4,2.22,11.3,49.4,32.7,84.4,46.2,37.5,59.6
1998,Madhya Pradesh,1.95,-0.179,-0.091,0.773,91.3,2.09,7.9,36.2,31.8,82.5,41.3,39.4,52.4
1998,Rajasthan,1.7,-0.161,0.218,0.649,87.4,2.3,1.2,46.7,30.4,90.7,46.8,37.0,55.1
1998,Gujarat,1.2,-0.034,-0.01,0.487,98.7,2.32,13.9,55.8,27.3,89.7,43.2,36.2,46.1
1998,Maharashtra,1.04,-0.414,-0.024,0.593,92.7,2.46,3.8,50.0,28.9,95.0,34.3,38.8,50.5
1998,Karnataka,1.59,-0.115,0.151,0.606,93.7,2.59,9.3,56.3,28.4,84.7,36.7,37.4,49.3
1998,Andhra Pradesh,2.37,-0.378,0.15,0.619,90.3,2.05,10.7,42.9,35.3,95.0,39.4,41.2,65.0
1998,Telangana,1.65,-0.292,0.218,0.612,94.0,2.29,5.2,34.5,31.2,85.0,38.2,35.2,57.8
1998,Tamil Nadu,1.98,-0.242,0.027,0.768,97.3,2.4,18.3,54.1,33.7,87.0,41.9,37.1,57.9
1998,Kerala,0.84,0.084,-0.204,0.33,101.1,2.56,15.6,51.1,24.0,85.7,37.1,32.9,40.7
1998,West Bengal,2.18,-0.435,0.245,0.615,92.8,2.3,10.8,40.7,31.7,81.8,50.2,37.8,62.4
1998,Assam,1.35,-0.832,-0.071,0.643,91.5,2.56,11.3,59.5,32.4,83.2,42.5,38.0,53.0
1998,Uttar Pradesh,2.53,-1.076,-0.198,0.84,89.0,2.35,19.6,36.7,38.1,84.5,45.2,43.3,73.7
1998,Haryana,1.66,-0.418,0.273,0.644,93.3,2.57,0.2,35.3,23.5,87.0,37.5,28.4,49.5
1998,Punjab,0.91,-0.395,0.564,0.695,94.8,2.35,3.7,37.5,26.9,83.3,37.9,28.1,46.5
1998,Uttarakhand,1.04,-0.112,0.157,0.521,92.2,2.54,5.4,56.7,28.8,79.7,38.4,35.6,45.5
1998,Goa,1.87,-0.322,0.456,0.745,92.0,2.45,22.8,60.7,26.3,78.6,43.3,31.1,61.7
1999,Bihar,-1.26,0.043,-0.017,0.092,102.5,2.5,0.0,63.0,37.3,88.4,47.7,36.2,32.9
1999,Jharkhand,-0.35,-0.162,-0.558,0.142,95.5,2.18,0.0,73.4,30.7,92.4,45.6,40.0,30.6
1999,Odisha,-0.92,0.295,0.072,0.045,105.5,2.67,0.0,58.4,25.4,88.7,43.9,33.8,26.9
1999,Chhattisgarh,-0.18,0.198,0.109,0.389,104.9,2.37,12.3,57.2,34.2,85.2,41.0,32.1,37.3
1999,Madhya Pradesh,-0.34,-0.417,0.166,0.485,98.0,2.55,0.9,57.7,31.5,87.2,48.8,34.3,38.1
1999,Rajasthan,0.6,-0.061,0.207,0.357,97.6,2.43,3.3,60.5,31.2,89.9,47.5,40.0,39.3
1999,Gujarat,-0.5,0.187,-0.165,0.19,100.3,2.79,4.4,62.3,31.6,77.1,31.7,36.7,31.8
1999,Maharashtra,-0.15,0.098,-0.277,0.255,106.7,2.64,5.0,57.7,25.6,78.8,39.7,35.7,26.0
1999,Karnataka,-1.46,0.021,-0.348,0.0,105.3,2.31,2.2,77.7,26.4,77.0,35.7,37.5,25.4
1999,Andhra Pradesh,-2.42,0.259,-0.43,0.0,107.0,2.77,0.0,94.1,26.1,92.0,33.9,37.2,25.8
1999,Telangana,-0.81,-0.047,-0.069,0.032,103.4,2.71,3.3,53.8,27.1,92.5,32.2,30.8,25.6
1999,Tamil Nadu,0.5,0.006,0.122,0.56,99.7,2.56,20.5,54.3,28.1,85.9,41.2,34.1,49.3
1999,Kerala,-1.03,0.847,-0.017,0.0,108.0,2.61,0.0,72.7,19.4,94.8,43.0,31.0,26.4
1999,West Bengal,-0.5,-0.077,-0.122,0.215,100.5,2.67,0.0,70.9,27.8,89.8,37.5,39.7,30.6
1999,Assam,0.8,0.168,-0.239,0.469,98.8,2.2,7.7,56.5,32.1,86.4,43.3,41.1,41.7
1999,Uttar Pradesh,0.78,-0.977,-0.001,0.596,90.1,2.4,16.3,45.1,35.2,76.0,41.5,44.2,53.4
1999,Haryana,-0.63,0.234,-0.425,0.344,104.5,2.54,4.9,53.8,29.8,88.0,37.1,31.0,29.3
1999,Punjab,-0.66,0.308,-0.002,0.204,102.9,2.65,0.0,83.2,20.6,95.0,42.8,29.0,28.1
1999,Uttarakhand,1.58,0.061,0.321,0.528,93.9,2.34,13.2,58.5,30.7,80.0,43.2,38.3,50.1
1999,Goa,0.32,0.175,-0.028,0.221,96.6,2.24,7.1,56.7,24.8,74.0,31.2,34.8,32.5
2000,Bihar,-0.73,0.218,-0.337,0.291,102.6,2.61,13.3,78.0,32.1,79.9,43.6,41.2,28.8
2000,Jharkhand,-0.28,-0.076,0.271,0.261,107.7,2.53,12.9,65.1,34.5,80.9,40.2,39.8,33.9
2000,Odisha,0.59,-0.077,-0.21,0.268,93.5,2.18,8.1,64.3,32.3,72.2,43.2,38.1,45.1
2000,Chhattisgarh,1.48,-0.659,0.04,0.824,94.9,2.43,12.8,50.8,35.0,78.6,47.0,34.5,61.4
2000,Madhya Pradesh,0.06,0.044,-0.118,0.298,98.0,2.34,3.4,50.7,30.6,80.9,44.8,32.6,38.1
2000,Rajasthan,-0.65,-0.089,0.213,0.253,101.5,2.62,0.0,64.9,34.0,89.4,41.2,36.4,37.5
2000,Gujarat,0.52,-0.677,-0.295,0.534,94.7,2.62,6.8,40.4,25.6,72.4,39.4,34.6,45.0
2000,Maharashtra,-0.54,0.405,0.197,0.121,96.3,2.66,4.8,66.8,31.2,81.6,47.6,31.3,32.4
2000,Karnataka,0.4,-0.566,-0.154,0.625,96.7,2.57,8.9,56.0,33.9,84.5,33.6,33.3,40.8
2000,Andhra Pradesh,0.24,0.083,-0.294,0.247,97.6,2.43,0.0,53.0,26.0,92.1,43.8,34.2,36.3
2000,Telangana,-0.51,0.119,-0.204,0.084,99.2,2.45,0.0,65.4,29.7,81.0,40.0,33.2,29.6
2000,Tamil Nadu,0.07,-0.015,-0.285,0.188,99.8,2.65,0.0,62.2,29.9,89.2,40.6,30.5,38.6
2000,Kerala,-0.3,-0.442,-0.493,0.438,97.2,2.43,0.0,51.1,24.4,87.2,37.7,32.0,32.7
2000,West Bengal,0.06,0.063,0.32,0.189,99.8,2.67,11.4,48.2,30.4,91.1,44.6,38.1,42.0
2000,Assam,-0.37,-0.059,0.028,0.23,101.1,2.54,0.2,67.3,37.3,79.3,42.8,33.1,33.0
2000,Uttar Pradesh,0.26,-0.025,0.173,0.462,99.6,2.65,0.0,70.6,30.6,92.8,37.8,33.9,39.7
2000,Haryana,-0.08,0.007,0.05,0.394,95.0,2.65,4.7,59.0,23.3,90.3,29.0,35.3,36.5
2000,Punjab,-1.39,0.225,-0.135,0.163,104.8,2.52,0.0,81.3,26.6,89.5,36.3,26.7,25.7
2000,Uttarakhand,0.11,-0.545,0.159,0.438,105.7,2.3,6.0,73.5,30.5,85.6,39.5,33.3,37.4
2000,Goa,0.03,-0.213,-0.016,0.187,99.9,2.55,4.4,46.9,28.1,92.1,32.9,29.9,28.4
2001,Bihar,-1.4,-0.098,-0.22,0.232,102.8,2.7,0.0,73.2,30.0,91.3,42.0,33.0,27.9
2001,Jharkhand,-1.31,0.036,-0.354,0.138,103.2,2.96,0.0,72.1,26.3,85.0,43.9,29.9,31.5
2001,Odisha,-0.01,0.572,-0.092,0.21,104.3,2.5,0.9,41.9,31.2,87.2,38.7,36.8,30.4
2001,Chhattisgarh,-0.67,-0.058,0.068,0.078,105.4,2.34,0.0,80.7,31.9,89.1,38.2,34.0,30.1
2001,Madhya Pradesh,-0.14,0.032,-0.029,0.269,99.9,2.3,1.8,68.4,25.0,86.5,38.4,36.1,31.9
2001,Rajasthan,-0.51,0.52,0.06,0.0,104.8,2.45,0.0,66.6,26.0,93.8,37.5,32.6,21.7
2001,Gujarat,-0.73,-0.061,0.162,0.266,107.5,2.9,0.0,66.4,22.5,86.9,36.5,29.7,33.4
2001,Maharashtra,-1.04,0.113,-0.327,0.205,101.1,3.01,0.0,68.9,22.7,95.0,43.4,33.9,28.2
2001,Karnataka,-1.28,0.255,-0.326,0.204,107.4,2.63,0.0,62.4,28.5,95.0,43.8,28.5,32.3
2001,Andhra Pradesh,0.04,0.298,-0.328,0.246,101.3,2.47,0.0,57.1,26.6,88.3,38.0,32.9,32.0
2001,Telangana,-0.23,0.168,-0.079,0.191,101.4,2.24,6.1,61.8,28.5,92.4,32.2,28.7,34.8
2001,Tamil Nadu,0.02,-0.005,0.036,0.258,101.9,2.64,7.5,57.8,21.2,91.9,43.5,35.4,31.6
2001,Kerala,-0.9,0.338,0.1,0.253,101.2,2.56,4.4,67.7,21.9,92.4,38.4,31.2,24.0
2001,West Bengal,-0.02,-0.074,0.294,0.221,98.2,2.5,9.4,48.2,27.2,74.4,42.7,34.0,34.9
2001,Assam,-0.51,0.275,-0.169,0.192,101.4,2.66,4.8,58.5,28.9,92.1,43.3,31.8,32.7
2001,Uttar Pradesh,0.32,-0.374,0.308,0.526,99.0,2.48,6.0,62.8,29.7,86.6,46.5,35.7,38.9
2001,Haryana,-0.69,-0.254,-0.268,0.064,104.1,2.81,9.9,52.5,29.5,95.0,36.3,33.6,33.1
2001,Punjab,-1.81,0.351,-0.357,0.0,102.3,2.74,2.2,68.2,22.4,79.5,36.5,30.2,25.7
2001,Uttarakhand,-1.44,0.352,-0.205,0.0,104.1,2.79,1.5,70.5,28.2,84.3,38.7,33.2,24.3
2001,Goa,-0.58,0.217,-0.202,0.221,104.1,2.12,8.2,40.2,23.4,95.0,34.4,26.5,32.7
2002,Bihar,0.84,0.182,-0.317,0.503,97.2,2.26,5.1,45.1,34.8,87.9,38.0,37.8,41.4
2002,Jharkhand,0.98,0.241,-0.191,0.56,96.9,2.26,5.1,45.7,27.8,85.2,39.2,31.8,42.0
2002,Odisha,1.27,-0.732,-0.049,0.546,91.5,2.66,11.8,51.8,28.1,78.7,45.1,36.3,51.5
2002,Chhattisgarh,2.04,-0.668,0.106,0.682,92.0,2.21,13.2,41.8,30.9,84.4,44.7,38.7,65.1
2002,Madhya Pradesh,1.24,0.053,0.052,0.445,96.1,2.66,3.2,56.2,24.2,87.4,48.4,37.8,44.3
2002,Rajasthan,1.6,-0.408,0.134,0.597,91.2,2.31,13.2,41.0,29.8,75.9,43.9,39.4,55.8
2002,Gujarat,1.64,0.044,0.149,0.576,95.3,2.36,8.8,64.6,28.3,82.3,42.2,36.2,49.8
2002,Maharashtra,0.66,0.238,0.034,0.24,101.7,2.55,0.8,69.0,28.6,89.6,45.3,33.5,38.4
2002,Karnataka,1.48,-0.421,0.235,0.654,94.0,2.24,12.4,47.6,26.9,76.7,43.4,28.7,58.1
2002,Andhra Pradesh,1.62,-0.387,0.392,0.572,95.5,2.29,12.8,52.9,29.7,89.0,37.4,37.6,56.3
2002,Telangana,2.05,-0.11,0.548,0.554,88.5,2.18,16.7,47.6,32.7,76.2,44.6,33.8,62.8
2002,Tamil Nadu,2.2,0.528,0.249,0.582,91.9,2.08,9.7,33.7,25.1,94.0,40.6,36.0,57.5
2002,Kerala,1.31,-0.249,0.298,0.544,96.5,2.35,9.0,38.2,20.9,86.7,37.0,28.2,42.9
2002,West Bengal,1.48,-0.206,-0.313,0.472,95.6,2.43,5.6,49.4,33.8,89.1,42.2,35.7,47.1
2002,Assam,1.12,-0.028,0.129,0.537,96.4,2.53,10.0,57.3,33.9,80.3,35.2,41.9,46.5
2002,Uttar Pradesh,1.65,-0.762,-0.01,0.778,91.8,2.25,20.1,38.4,32.3,80.8,45.8,41.7,59.8
2002,Haryana,2.05,-0.247,0.262,0.631,92.5,2.34,14.8,49.8,31.7,84.5,36.1,35.4,55.4
2002,Punjab,1.48,-0.165,0.56,0.503,95.7,2.53,11.8,66.8,27.6,87.7,35.3,33.0,45.1
2002,Uttarakhand,1.65,0.006,0.196,0.672,94.0,2.32,25.1,50.0,30.4,77.5,36.8,40.1,53.0
2002,Goa,1.28,-0.154,0.09,0.596,92.7,2.23,11.6,54.6,28.6,82.7,39.5,30.3,49.1
2003,Bihar,1.19,-0.461,0.355,0.634,96.7,2.57,24.7,36.8,34.0,75.2,42.5,38.8,56.8
2003,Jharkhand,1.32,-0.563,0.173,0.616,95.7,2.44,14.4,46.5,40.1,82.8,37.2,36.8,53.2
2003,Odisha,0.46,-0.063,0.012,0.334,104.3,2.54,10.6,48.9,28.2,85.1,43.9,32.3,39.4
2003,Chhattisgarh,1.39,-0.205,0.068,0.468,93.1,2.35,11.4,53.7,35.9,81.3,41.7,39.9,50.4
2003,Madhya Pradesh,1.87,-0.41,0.307,0.76,96.5,2.6,9.0,45.2,31.0,84.2,39.7,32.7,60.7
2003,Rajasthan,1.56,-0.464,0.142,0.547,90.3,2.39,12.9,52.2,38.8,84.0,44.4,34.6,56.9
2003,Gujarat,0.73,0.366,-0.126,0.232,98.1,2.45,2.7,51.7,31.7,84.0,34.3,37.1,39.4
2003,Maharashtra,1.8,-0.455,-0.173,0.586,92.6,2.51,7.9,45.0,31.5,73.8,44.1,31.5,56.1
2003,Karnataka,1.7,-0.181,0.353,0.646,86.6,2.24,12.8,44.8,33.5,86.4,44.2,36.6,53.7
2003,Andhra Pradesh,0.39,-0.195,0.115,0.289,100.1,2.6,7.6,32.4,25.5,95.0,38.6,29.5,36.5
2003,Telangana,2.24,-0.332,0.4,0.73,92.9,2.36,18.1,60.3,35.0,74.4,43.1,40.7,61.1
2003,Tamil Nadu,2.22,-0.461,0.411,0.818,99.0,2.19,12.3,39.8,27.4,81.6,28.0,33.2,59.0
2003,Kerala,1.72,-0.406,0.525,0.641,97.0,2.38,16.8,48.5,32.4,86.0,39.1,34.3,56.0
2003,West Bengal,1.33,-0.078,0.553,0.488,96.5,2.58,16.2,49.5,25.6,84.8,34.2,43.0,50.6
2003,Assam,1.6,0.06,-0.052,0.373,95.3,2.37,8.8,47.9,39.5,88.6,46.6,39.8,47.7
2003,Uttar Pradesh,2.39,-0.415,-0.22,0.722,93.2,2.14,14.5,35.4,37.9,85.5,46.5,41.1,65.3
2003,Haryana,1.48,-0.162,-0.119,0.335,95.0,2.42,17.3,60.7,34.9,79.0,37.9,36.7,53.1
2003,Punjab,3.0,-0.006,0.464,0.712,86.8,2.38,11.5,34.1,29.6,92.3,37.8,27.6,68.8
2003,Uttarakhand,1.8,-0.48,0.153,0.658,91.9,2.45,5.5,41.4,31.0,83.4,33.3,36.6,52.2
2003,Goa,2.17,-0.34,-0.218,0.765,86.7,2.36,9.9,33.3,26.9,85.1,34.6,34.6,58.6
2004,Bihar,1.23,0.109,0.155,0.393,93.3,2.16,11.2,47.3,26.9,79.0,41.9,45.0,47.2
2004,Jharkhand,0.48,-0.504,0.26,0.608,95.1,2.34,11.0,37.6,27.6,81.2,50.7,38.1,51.4
2004,Odisha,1.56,0.106,0.546,0.455,94.7,2.65,3.4,55.7,28.2,85.6,42.6,34.9,44.5
2004,Chhattisgarh,0.91,-0.054,0.272,0.434,96.9,2.51,3.9,58.6,33.0,95.0,41.3,35.7,41.1
2004,Madhya Pradesh,1.96,-0.048,0.05,0.564,94.7,2.22,10.9,45.0,34.7,80.7,35.2,31.9,63.1
2004,Rajasthan,0.74,-0.506,0.029,0.394,94.3,2.3,6.8,64.6,32.5,85.3,40.0,35.2,43.7
2004,Gujarat,1.7,-0.079,-0.046,0.574,87.8,2.39,15.8,44.2,37.6,77.7,42.2,37.1,51.4
2004,Maharashtra,1.44,-0.25,0.137,0.651,98.6,2.37,15.3,42.9,32.3,80.9,44.2,42.2,52.4
2004,Karnataka,1.43,-0.872,0.005,0.812,94.9,2.38,17.5,52.5,35.4,87.3,47.4,38.2,52.6
2004,Andhra Pradesh,2.04,-0.399,0.043,0.857,92.7,2.44,14.6,39.0,31.8,90.1,43.9,32.1,62.7
2004,Telangana,1.37,0.329,0.067,0.26,101.5,2.51,9.5,46.1,32.3,83.9,44.7,36.7,48.8
2004,Tamil Nadu,1.65,-0.203,0.097,0.692,91.2,2.11,15.1,51.9,32.1,85.7,38.6,38.1,53.4
2004,Kerala,1.47,-0.367,0.055,0.796,88.9,2.44,3.2,47.4,25.5,77.8,38.6,30.9,50.1
2004,West Bengal,0.24,0.216,0.306,0.442,100.7,2.5,12.2,71.5,34.7,79.6,43.4,38.9,43.9
2004,Assam,0.41,0.079,0.488,0.41,103.1,2.5,6.1,59.7,27.0,82.0,46.7,40.2,34.2
2004,Uttar Pradesh,0.91,0.155,0.055,0.439,98.5,2.58,8.7,64.0,32.3,87.6,39.8,44.3,39.8
2004,Haryana,1.78,-0.053,-0.179,0.496,97.4,2.4,2.7,54.1,25.3,95.0,38.0,33.5,47.0
2004,Punjab,2.21,-0.6,-0.022,0.732,93.6,2.09,6.7,48.9,26.2,85.2,31.0,31.5,54.9
